Layer                                         Output Shape                   GPU Latency (ms)     CPU Latency (ms)     GPU Power (mW)       CPU Power (mW)      
model.layers.1.mlp.experts.0.act_fn           torch.Size([1, 1408])          0.122208             0.217915             2327.520000          3723.264000         
model.layers.1.mlp.experts.0.up_proj          torch.Size([1, 1408])          0.419904             0.695705             2327.232000          3723.264000         
model.layers.1.mlp.experts.0.down_proj        torch.Size([1, 2048])          0.383136             0.558138             2404.608000          3723.264000         
model.layers.1.mlp.experts.29.gate_proj       torch.Size([1, 1408])          0.391168             0.566483             714.803200           4193.856000         
model.layers.1.mlp.experts.29.act_fn          torch.Size([1, 1408])          0.141408             0.231981             776.960000           4193.856000         
model.layers.1.mlp.experts.29.up_proj         torch.Size([1, 1408])          0.312736             0.476122             854.656000           4038.528000         
model.layers.1.mlp.experts.29.down_proj       torch.Size([1, 2048])          0.352800             0.573397             994.252800           4037.862400         
model.layers.1.mlp.experts.42.gate_proj       torch.Size([1, 1408])          0.405248             0.581980             776.960000           3883.840000         
model.layers.1.mlp.experts.42.act_fn          torch.Size([1, 1408])          0.151072             0.272751             776.960000           3883.200000         
model.layers.1.mlp.experts.42.up_proj         torch.Size([1, 1408])          0.350400             0.527382             901.273600           3883.200000         
model.layers.1.mlp.experts.42.down_proj       torch.Size([1, 2048])          0.370336             0.605345             1025.318400          3883.200000         
model.layers.1.mlp.experts.56.gate_proj       torch.Size([1, 1408])          0.409952             0.494480             776.768000           4504.512000         
model.layers.1.mlp.experts.56.act_fn          torch.Size([1, 1408])          0.149280             0.242710             776.640000           4504.512000         
model.layers.1.mlp.experts.56.up_proj         torch.Size([1, 1408])          0.323264             0.486851             900.902400           4472.345600         
model.layers.1.mlp.experts.56.down_proj       torch.Size([1, 2048])          0.353408             0.512838             1056.230400          4347.392000         
model.layers.1.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          0.783744             1.015902             1118.361600          4192.473600         
model.layers.1.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.136032             0.234842             1397.376000          4191.264000         
model.layers.1.mlp.shared_expert.up_proj      torch.Size([1, 5632])          0.838240             1.019955             1645.504000          4159.027200         
model.layers.1.mlp.shared_expert.down_proj    torch.Size([1, 2048])          0.932000             1.093149             2249.904000          4033.120000         
model.layers.1.mlp.shared_expert_gate         torch.Size([1, 1])             0.286240             0.464678             2822.745600          4031.872000         
model.layers.2.input_layernorm                torch.Size([1, 1, 2048])       0.689568             0.868082             2915.908267          4031.872000         
model.layers.2.self_attn.q_proj               torch.Size([1, 1, 2048])       0.459808             0.636816             2885.043200          4031.872000         
model.layers.2.self_attn.k_proj               torch.Size([1, 1, 2048])       0.464480             0.649214             3132.454400          4030.540800         
model.layers.2.self_attn.v_proj               torch.Size([1, 1, 2048])       0.414048             0.567913             3318.540800          4030.208000         
model.layers.2.self_attn.o_proj               torch.Size([1, 1, 2048])       0.464096             0.669956             3565.760000          4029.542400         
model.layers.2.post_attention_layernorm       torch.Size([1, 1, 2048])       0.652032             0.756979             3524.710400          3999.206400         
model.layers.2.mlp.experts.0.gate_proj        torch.Size([1, 1408])          0.393600             0.625610             3349.555200          3875.200000         
model.layers.2.mlp.experts.0.act_fn           torch.Size([1, 1408])          0.162720             0.259876             3411.584000          3875.200000         
model.layers.2.mlp.experts.0.up_proj          torch.Size([1, 1408])          0.336288             0.537872             3411.584000          3875.200000         
model.layers.2.mlp.experts.0.down_proj        torch.Size([1, 2048])          0.387360             0.575781             3535.052800          3875.200000         
model.layers.2.mlp.experts.39.gate_proj       torch.Size([1, 1408])          0.375168             0.611544             1056.665600          3727.872000         
model.layers.2.mlp.experts.39.act_fn          torch.Size([1, 1408])          0.177792             0.272751             1243.136000          3727.872000         
model.layers.2.mlp.experts.39.up_proj         torch.Size([1, 1408])          0.340224             0.406265             1305.177600          3727.872000         
model.layers.2.mlp.experts.39.down_proj       torch.Size([1, 2048])          0.352224             0.537634             1475.616000          3727.104000         
model.layers.2.mlp.experts.52.gate_proj       torch.Size([1, 1408])          0.399296             0.591278             1243.136000          3727.872000         
model.layers.2.mlp.experts.52.act_fn          torch.Size([1, 1408])          0.180704             0.301838             1398.528000          3727.872000         
model.layers.2.mlp.experts.52.up_proj         torch.Size([1, 1408])          0.316480             0.464916             1449.920000          3727.872000         
model.layers.2.mlp.experts.52.down_proj       torch.Size([1, 2048])          0.378240             0.563860             1646.476800          3726.336000         
model.layers.2.mlp.experts.59.gate_proj       torch.Size([1, 1408])          0.342656             0.427485             1491.264000          3758.003200         
model.layers.2.mlp.experts.59.act_fn          torch.Size([1, 1408])          0.112864             0.229359             1553.280000          3726.336000         
model.layers.2.mlp.experts.59.up_proj         torch.Size([1, 1408])          0.342208             0.409126             1630.944000          3726.336000         
model.layers.2.mlp.experts.59.down_proj       torch.Size([1, 2048])          0.341536             0.555277             1894.668800          3726.336000         
model.layers.2.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          0.804704             0.988245             2235.404800          3724.185600         
model.layers.2.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.112416             0.249624             2716.000000          3723.264000         
model.layers.2.mlp.shared_expert.up_proj      torch.Size([1, 5632])          0.750720             0.912189             3025.440000          3722.112000         
model.layers.2.mlp.shared_expert.down_proj    torch.Size([1, 2048])          0.951168             1.144886             3597.670400          3782.502400         
model.layers.2.mlp.shared_expert_gate         torch.Size([1, 1])             0.334496             0.438213             4107.712000          3874.000000         
model.layers.3.input_layernorm                torch.Size([1, 1, 2048])       0.659648             0.810146             4059.472000          3719.616000         
model.layers.3.self_attn.q_proj               torch.Size([1, 1, 2048])       0.451360             0.627041             3968.844800          3720.192000         
model.layers.3.self_attn.k_proj               torch.Size([1, 1, 2048])       0.422720             0.658989             4123.212800          3718.656000         
model.layers.3.self_attn.v_proj               torch.Size([1, 1, 2048])       0.501952             0.654459             4278.220800          3718.656000         
model.layers.3.self_attn.o_proj               torch.Size([1, 1, 2048])       0.434624             0.597477             4463.104000          3718.656000         
model.layers.3.post_attention_layernorm       torch.Size([1, 1, 2048])       0.584608             0.714540             4370.730667          3718.656000         
model.layers.3.mlp.experts.19.gate_proj       torch.Size([1, 1408])          0.382912             0.464916             1552.640000          4501.542400         
model.layers.3.mlp.experts.19.act_fn          torch.Size([1, 1408])          0.134592             0.252962             1707.904000          4656.000000         
model.layers.3.mlp.experts.19.up_proj         torch.Size([1, 1408])          0.302464             0.458956             1707.786667          4656.000000         
model.layers.3.mlp.experts.19.down_proj       torch.Size([1, 2048])          0.343776             0.479698             1901.200000          4655.520000         
model.layers.3.mlp.experts.33.gate_proj       torch.Size([1, 1408])          0.344640             0.497103             1242.713600          4162.099200         
model.layers.3.mlp.experts.33.act_fn          torch.Size([1, 1408])          0.116736             0.207186             1397.952000          4192.128000         
model.layers.3.mlp.experts.33.up_proj         torch.Size([1, 1408])          0.306400             0.434637             1460.083200          4192.128000         
model.layers.3.mlp.experts.33.down_proj       torch.Size([1, 2048])          0.369664             0.534534             1630.432000          4346.496000         
model.layers.3.mlp.experts.35.gate_proj       torch.Size([1, 1408])          0.321984             0.463009             1801.062400          4345.600000         
model.layers.3.mlp.experts.35.act_fn          torch.Size([1, 1408])          0.112352             0.204563             1863.168000          4345.600000         
model.layers.3.mlp.experts.35.up_proj         torch.Size([1, 1408])          0.330720             0.501633             1956.326400          4345.600000         
model.layers.3.mlp.experts.35.down_proj       torch.Size([1, 2048])          0.402400             0.538349             2134.656000          4345.600000         
model.layers.3.mlp.experts.51.gate_proj       torch.Size([1, 1408])          0.331872             0.473499             1335.820800          4037.529600         
model.layers.3.mlp.experts.51.act_fn          torch.Size([1, 1408])          0.111840             0.202417             1397.952000          4036.864000         
model.layers.3.mlp.experts.51.up_proj         torch.Size([1, 1408])          0.318848             0.463009             1491.148800          4036.864000         
model.layers.3.mlp.experts.51.down_proj       torch.Size([1, 2048])          0.372320             0.509977             1739.084800          4036.864000         
model.layers.3.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          0.786976             0.935555             1630.576000          3881.200000         
model.layers.3.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.116960             0.211000             2096.064000          3880.000000         
model.layers.3.mlp.shared_expert.up_proj      torch.Size([1, 5632])          0.756928             0.916958             2483.148800          3878.720000         
model.layers.3.mlp.shared_expert.down_proj    torch.Size([1, 2048])          0.956192             1.090765             3024.816000          3876.800000         
model.layers.3.mlp.shared_expert_gate         torch.Size([1, 1])             0.226272             0.316381             3566.656000          3875.200000         
model.layers.4.input_layernorm                torch.Size([1, 1, 2048])       0.606272             0.700951             3576.348000          3875.500000         
model.layers.4.self_attn.q_proj               torch.Size([1, 1, 2048])       0.468416             0.626326             3489.120000          3875.466667         
model.layers.4.self_attn.k_proj               torch.Size([1, 1, 2048])       0.495936             0.713825             3659.392000          3875.200000         
model.layers.4.self_attn.v_proj               torch.Size([1, 1, 2048])       0.414944             0.552177             3844.505600          3875.200000         
model.layers.4.self_attn.o_proj               torch.Size([1, 1, 2048])       0.426208             0.581741             4061.209600          3873.920000         
model.layers.4.post_attention_layernorm       torch.Size([1, 1, 2048])       0.583968             0.679255             4009.540267          3957.013333         
model.layers.4.mlp.experts.16.gate_proj       torch.Size([1, 1408])          0.355488             0.440121             1646.476800          3881.600000         
model.layers.4.mlp.experts.16.act_fn          torch.Size([1, 1408])          0.126688             0.216722             1708.608000          3881.600000         
model.layers.4.mlp.experts.16.up_proj         torch.Size([1, 1408])          0.302080             0.483990             1801.344000          3881.600000         
model.layers.4.mlp.experts.16.down_proj       torch.Size([1, 2048])          0.341632             0.504494             2018.432000          3880.400000         
model.layers.4.mlp.experts.17.gate_proj       torch.Size([1, 1408])          0.331264             0.486851             2235.801600          3880.000000         
model.layers.4.mlp.experts.17.act_fn          torch.Size([1, 1408])          0.139648             0.232458             2328.960000          3880.000000         
model.layers.4.mlp.experts.17.up_proj         torch.Size([1, 1408])          0.327872             0.479221             2359.616000          3880.000000         
model.layers.4.mlp.experts.17.down_proj       torch.Size([1, 2048])          0.343232             0.475645             2522.000000          3878.800000         
model.layers.4.mlp.experts.25.gate_proj       torch.Size([1, 1408])          0.357184             0.442028             1894.528000          3881.600000         
model.layers.4.mlp.experts.25.act_fn          torch.Size([1, 1408])          0.111008             0.233650             2018.432000          3881.600000         
model.layers.4.mlp.experts.25.up_proj         torch.Size([1, 1408])          0.303680             0.455141             2049.484800          3880.000000         
model.layers.4.mlp.experts.25.down_proj       torch.Size([1, 2048])          0.346400             0.491381             2212.512000          3880.000000         
model.layers.4.mlp.experts.41.gate_proj       torch.Size([1, 1408])          0.352320             0.447750             1212.057600          3727.872000         
model.layers.4.mlp.experts.41.act_fn          torch.Size([1, 1408])          0.111520             0.201464             1243.136000          3727.872000         
model.layers.4.mlp.experts.41.up_proj         torch.Size([1, 1408])          0.303360             0.442505             1367.104000          3727.872000         
model.layers.4.mlp.experts.41.down_proj       torch.Size([1, 2048])          0.366496             0.496864             1491.148800          3726.336000         
model.layers.4.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          0.800352             0.964403             1113.600000          3572.544000         
model.layers.4.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.140448             0.229597             1449.728000          3571.072000         
model.layers.4.mlp.shared_expert.up_proj      torch.Size([1, 5632])          0.818048             0.988960             1708.224000          3570.581333         
model.layers.4.mlp.shared_expert.down_proj    torch.Size([1, 2048])          0.917376             1.052380             2302.421333          3568.864000         
model.layers.4.mlp.shared_expert_gate         torch.Size([1, 1])             0.197600             0.286341             2730.828800          3568.128000         
model.layers.5.input_layernorm                torch.Size([1, 1, 2048])       0.535584             0.630140             2565.364706          3568.128000         
model.layers.5.self_attn.q_proj               torch.Size([1, 1, 2048])       0.481824             0.695467             2527.542857          3568.128000         
model.layers.5.self_attn.k_proj               torch.Size([1, 1, 2048])       0.428384             0.584841             2663.893333          3568.128000         
model.layers.5.self_attn.v_proj               torch.Size([1, 1, 2048])       0.435296             0.582457             2792.448000          3567.707429         
model.layers.5.self_attn.o_proj               torch.Size([1, 1, 2048])       0.429888             0.604868             2921.728000          3566.656000         
model.layers.5.post_attention_layernorm       torch.Size([1, 1, 2048])       0.596960             0.696659             2883.704471          3567.348706         
model.layers.5.mlp.experts.9.gate_proj        torch.Size([1, 1408])          0.344640             0.527382             1491.148800          3571.660800         
model.layers.5.mlp.experts.9.act_fn           torch.Size([1, 1408])          0.115584             0.213861             1553.280000          3571.072000         
model.layers.5.mlp.experts.9.up_proj          torch.Size([1, 1408])          0.307104             0.461102             1630.944000          3571.072000         
model.layers.5.mlp.experts.9.down_proj        torch.Size([1, 2048])          0.371552             0.574827             1786.080000          3571.072000         
model.layers.5.mlp.experts.10.gate_proj       torch.Size([1, 1408])          0.330240             0.491381             1914.922667          3570.581333         
model.layers.5.mlp.experts.10.act_fn          torch.Size([1, 1408])          0.140288             0.234127             2018.432000          3570.090667         
model.layers.5.mlp.experts.10.up_proj         torch.Size([1, 1408])          0.300512             0.494957             2018.432000          3569.600000         
model.layers.5.mlp.experts.10.down_proj       torch.Size([1, 2048])          0.341600             0.479221             2111.590400          3569.600000         
model.layers.5.mlp.experts.22.gate_proj       torch.Size([1, 1408])          0.349280             0.457764             1211.558400          4130.355200         
model.layers.5.mlp.experts.22.act_fn          torch.Size([1, 1408])          0.114656             0.202656             1242.624000          4192.128000         
model.layers.5.mlp.experts.22.up_proj         torch.Size([1, 1408])          0.302688             0.489712             1335.820800          4192.128000         
model.layers.5.mlp.experts.22.down_proj       torch.Size([1, 2048])          0.348352             0.495672             1475.152000          4192.128000         
model.layers.5.mlp.experts.42.gate_proj       torch.Size([1, 1408])          0.364416             0.528097             963.430400           4038.528000         
model.layers.5.mlp.experts.42.act_fn          torch.Size([1, 1408])          0.123232             0.216722             1087.744000          4038.528000         
model.layers.5.mlp.experts.42.up_proj         torch.Size([1, 1408])          0.319040             0.485420             1118.540800          4038.528000         
model.layers.5.mlp.experts.42.down_proj       torch.Size([1, 2048])          0.362048             0.517607             1304.755200          4037.196800         
model.layers.5.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          0.789504             0.950575             1056.460800          3882.560000         
model.layers.5.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.113024             0.200272             1475.616000          3881.600000         
model.layers.5.mlp.shared_expert.up_proj      torch.Size([1, 5632])          0.789056             0.927448             1669.248000          3880.800000         
model.layers.5.mlp.shared_expert.down_proj    torch.Size([1, 2048])          0.921088             1.051664             2172.966400          3879.040000         
model.layers.5.mlp.shared_expert_gate         torch.Size([1, 1])             0.202624             0.291586             2637.568000          3877.200000         
model.layers.6.input_layernorm                torch.Size([1, 1, 2048])       0.613632             0.706911             2792.448000          3877.120000         
model.layers.6.self_attn.q_proj               torch.Size([1, 1, 2048])       0.460480             0.606537             2761.420800          3877.120000         
model.layers.6.self_attn.k_proj               torch.Size([1, 1, 2048])       0.465856             0.641108             3009.382400          3876.800000         
model.layers.6.self_attn.v_proj               torch.Size([1, 1, 2048])       0.440448             0.621557             3163.468800          3875.840000         
model.layers.6.self_attn.o_proj               torch.Size([1, 1, 2048])       0.463072             0.627041             3380.569600          3875.200000         
model.layers.6.post_attention_layernorm       torch.Size([1, 1, 2048])       0.567008             0.666857             3370.231467          3875.413333         
model.layers.6.mlp.experts.37.gate_proj       torch.Size([1, 1408])          0.348832             0.519037             1087.744000          3883.200000         
model.layers.6.mlp.experts.37.act_fn          torch.Size([1, 1408])          0.120384             0.217438             1243.136000          3883.200000         
model.layers.6.mlp.experts.37.up_proj         torch.Size([1, 1408])          0.312864             0.392675             1305.177600          3883.200000         
model.layers.6.mlp.experts.37.down_proj       torch.Size([1, 2048])          0.375552             0.535965             1475.616000          3882.400000         
model.layers.6.mlp.experts.40.gate_proj       torch.Size([1, 1408])          0.311488             0.521660             1615.411200          3881.600000         
model.layers.6.mlp.experts.40.act_fn          torch.Size([1, 1408])          0.118432             0.217676             1708.608000          3881.600000         
model.layers.6.mlp.experts.40.up_proj         torch.Size([1, 1408])          0.306272             0.475168             1786.272000          3881.600000         
model.layers.6.mlp.experts.40.down_proj       torch.Size([1, 2048])          0.372128             0.540733             1940.800000          3880.800000         
model.layers.6.mlp.experts.45.gate_proj       torch.Size([1, 1408])          0.315072             0.476599             1832.409600          3881.600000         
model.layers.6.mlp.experts.45.act_fn          torch.Size([1, 1408])          0.160096             0.250101             1863.168000          3881.600000         
model.layers.6.mlp.experts.45.up_proj         torch.Size([1, 1408])          0.302848             0.463963             1979.616000          3880.800000         
model.layers.6.mlp.experts.45.down_proj       torch.Size([1, 2048])          0.375776             0.546932             2134.880000          3880.000000         
model.layers.6.mlp.experts.52.gate_proj       torch.Size([1, 1408])          0.325984             0.473261             1801.651200          3881.600000         
model.layers.6.mlp.experts.52.act_fn          torch.Size([1, 1408])          0.116672             0.208139             1863.168000          3881.600000         
model.layers.6.mlp.experts.52.up_proj         torch.Size([1, 1408])          0.305312             0.430346             1956.326400          3881.600000         
model.layers.6.mlp.experts.52.down_proj       torch.Size([1, 2048])          0.372768             0.581503             2173.696000          3880.000000         
model.layers.6.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          0.835840             0.977278             1863.436800          3725.721600         
model.layers.6.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.156800             0.252485             2328.960000          3724.800000         
model.layers.6.mlp.shared_expert.up_proj      torch.Size([1, 5632])          0.764928             0.896931             2638.348800          3723.571200         
model.layers.6.mlp.shared_expert.down_proj    torch.Size([1, 2048])          0.925280             1.055717             3319.065600          3721.420800         
model.layers.6.mlp.shared_expert_gate         torch.Size([1, 1])             0.232736             0.323534             3837.232000          3758.944000         
model.layers.7.input_layernorm                torch.Size([1, 1, 2048])       26.879232            27.023315            2592.040157          4233.844706         
model.layers.7.self_attn.q_proj               torch.Size([1, 1, 2048])       17.694689            17.868519            1742.529306          3731.734857         
model.layers.7.self_attn.k_proj               torch.Size([1, 1, 2048])       32.942242            33.097982            1520.949622          3141.552432         
model.layers.7.self_attn.v_proj               torch.Size([1, 1, 2048])       14.368256            14.515162            1520.925737          3020.566303         
model.layers.7.self_attn.o_proj               torch.Size([1, 1, 2048])       11.984736            12.183905            1127.762094          3024.109906         
model.layers.7.post_attention_layernorm       torch.Size([1, 1, 2048])       7.055072             7.228613             731.370667           3451.955451         
model.layers.7.mlp.experts.42.gate_proj       torch.Size([1, 1408])          116.218430           116.446257           621.850947           3042.817925         
model.layers.7.mlp.experts.42.act_fn          torch.Size([1, 1408])          0.227008             0.349045             621.824000           3263.232000         
model.layers.7.mlp.experts.42.up_proj         torch.Size([1, 1408])          109.970146           110.122681           626.430104           3091.900681         
model.layers.7.mlp.experts.42.down_proj       torch.Size([1, 2048])          108.204544           108.328581           654.982118           3031.489412         
model.layers.7.mlp.experts.50.gate_proj       torch.Size([1, 1408])          115.484322           115.686417           621.829908           3213.388800         
model.layers.7.mlp.experts.50.act_fn          torch.Size([1, 1408])          0.186848             0.292778             621.824000           3418.624000         
model.layers.7.mlp.experts.50.up_proj         torch.Size([1, 1408])          116.127998           116.278172           621.829774           3134.913925         
model.layers.7.mlp.experts.50.down_proj       torch.Size([1, 2048])          118.284546           118.471622           658.611298           3059.261557         
model.layers.7.mlp.experts.58.gate_proj       torch.Size([1, 1408])          118.643646           118.815184           621.858552           3003.397890         
model.layers.7.mlp.experts.58.act_fn          torch.Size([1, 1408])          0.151232             0.320911             621.824000           3107.840000         
model.layers.7.mlp.experts.58.up_proj         torch.Size([1, 1408])          118.737854           118.918419           621.835463           3124.466149         
model.layers.7.mlp.experts.58.down_proj       torch.Size([1, 2048])          114.285439           114.455700           621.817081           3187.926919         
model.layers.7.mlp.experts.59.gate_proj       torch.Size([1, 1408])          119.408508           119.575024           621.787429           3234.617034         
model.layers.7.mlp.experts.59.act_fn          torch.Size([1, 1408])          0.200992             0.320673             621.568000           3727.872000         
model.layers.7.mlp.experts.59.up_proj         torch.Size([1, 1408])          115.462494           115.611315           621.772800           3298.557714         
model.layers.7.mlp.experts.59.down_proj       torch.Size([1, 2048])          110.701408           110.865116           620.901254           5769.980657         
model.layers.7.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          435.534607           435.811758           680.108148           4840.933481         
model.layers.7.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.196736             0.318527             776.640000           3727.872000         
model.layers.7.mlp.shared_expert.up_proj      torch.Size([1, 5632])          452.604187           452.851772           675.678681           3056.145770         
model.layers.7.mlp.shared_expert.down_proj    torch.Size([1, 2048])          445.308319           445.660591           682.811981           3034.956651         
model.layers.7.mlp.shared_expert_gate         torch.Size([1, 1])             10.478720            10.702133            661.170983           3436.489763         
model.layers.8.input_layernorm                torch.Size([1, 1, 2048])       7.099072             7.362366             546.549000           3302.946000         
model.layers.8.self_attn.q_proj               torch.Size([1, 1, 2048])       166.652954           168.257713           565.190080           3008.529280         
model.layers.8.self_attn.k_proj               torch.Size([1, 1, 2048])       171.243484           171.515465           621.861926           3125.494222         
model.layers.8.self_attn.v_proj               torch.Size([1, 1, 2048])       170.070145           170.346022           621.751922           3322.816311         
model.layers.8.self_attn.o_proj               torch.Size([1, 1, 2048])       166.145218           166.415691           681.100208           3210.477133         
model.layers.8.post_attention_layernorm       torch.Size([1, 1, 2048])       8.500256             8.689880             665.268480           3362.598400         
model.layers.8.mlp.experts.4.gate_proj        torch.Size([1, 1408])          112.404671           112.613440           621.818475           3299.005698         
model.layers.8.mlp.experts.4.act_fn           torch.Size([1, 1408])          0.227264             0.336647             621.824000           3263.232000         
model.layers.8.mlp.experts.4.up_proj          torch.Size([1, 1408])          112.204163           112.355947           621.847273           3097.634424         
model.layers.8.mlp.experts.4.down_proj        torch.Size([1, 2048])          165.821884           166.099072           656.392533           3087.447230         
model.layers.8.mlp.experts.8.gate_proj        torch.Size([1, 1408])          159.039581           159.222364           621.766194           3516.624103         
model.layers.8.mlp.experts.8.act_fn           torch.Size([1, 1408])          0.263232             0.435829             621.824000           3263.232000         
model.layers.8.mlp.experts.8.up_proj          torch.Size([1, 1408])          242.193573           242.377520           621.825896           3105.790578         
model.layers.8.mlp.experts.8.down_proj        torch.Size([1, 2048])          157.903336           158.141613           633.494795           3179.536658         
model.layers.8.mlp.experts.34.gate_proj       torch.Size([1, 1408])          115.770691           115.962505           621.896567           3032.543244         
model.layers.8.mlp.experts.34.act_fn          torch.Size([1, 1408])          0.355776             0.539064             621.568000           3729.408000         
model.layers.8.mlp.experts.34.up_proj         torch.Size([1, 1408])          112.346786           112.494230           621.814519           3431.285570         
model.layers.8.mlp.experts.34.down_proj       torch.Size([1, 2048])          111.512573           111.700296           649.747248           3357.362526         
model.layers.8.mlp.experts.43.gate_proj       torch.Size([1, 1408])          165.684708           165.955067           621.614362           3706.586709         
model.layers.8.mlp.experts.43.act_fn          torch.Size([1, 1408])          0.195328             0.303268             621.568000           3574.016000         
model.layers.8.mlp.experts.43.up_proj         torch.Size([1, 1408])          165.202118           165.356398           634.392000           3226.838588         
model.layers.8.mlp.experts.43.down_proj       torch.Size([1, 2048])          176.127548           176.323175           668.931879           3141.060848         
model.layers.8.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          454.979370           455.192327           656.770157           3016.621016         
model.layers.8.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.261664             0.464201             776.960000           3572.544000         
model.layers.8.mlp.shared_expert.up_proj      torch.Size([1, 5632])          394.097137           394.323587           683.484605           3051.644244         
model.layers.8.mlp.shared_expert.down_proj    torch.Size([1, 2048])          458.777740           459.175587           693.173097           3257.596177         
model.layers.8.mlp.shared_expert_gate         torch.Size([1, 1])             11.937792            12.241840            697.711020           3538.497306         
