Layer                                         Output Shape                   GPU Latency (ms)     CPU Latency (ms)     GPU Power (mW)       CPU Power (mW)      
model.layers.0.mlp.experts.25.act_fn          torch.Size([0, 1408])          0.289696             0.668049             776.640000           4036.864000         
model.layers.0.mlp.experts.25.up_proj         torch.Size([0, 1408])          0.005760             1.752138             714.508800           4036.864000         
model.layers.0.mlp.experts.25.down_proj       torch.Size([0, 2048])          1.457696             1.754522             621.312000           4192.128000         
model.layers.0.mlp.experts.26.gate_proj       torch.Size([0, 1408])          0.005696             1.678944             621.312000           4114.496000         
model.layers.0.mlp.experts.26.act_fn          torch.Size([0, 1408])          0.280320             0.653267             621.312000           4036.864000         
model.layers.0.mlp.experts.26.up_proj         torch.Size([0, 1408])          0.005696             1.722097             621.312000           4036.864000         
model.layers.0.mlp.experts.26.down_proj       torch.Size([0, 2048])          0.469920             0.836849             621.312000           4036.864000         
model.layers.0.mlp.experts.27.gate_proj       torch.Size([0, 1408])          0.005696             1.673937             621.312000           3998.448000         
model.layers.0.mlp.experts.27.act_fn          torch.Size([0, 1408])          0.293728             0.659704             621.312000           3883.200000         
model.layers.0.mlp.experts.27.up_proj         torch.Size([0, 1408])          1.512000             1.803875             465.984000           3883.200000         
model.layers.0.mlp.experts.27.down_proj       torch.Size([0, 2048])          0.520000             0.883579             465.984000           4036.864000         
model.layers.0.mlp.experts.28.gate_proj       torch.Size([0, 1408])          0.005728             1.675606             465.984000           4114.496000         
model.layers.0.mlp.experts.28.act_fn          torch.Size([0, 1408])          0.323424             0.731945             465.984000           4192.128000         
model.layers.0.mlp.experts.28.up_proj         torch.Size([0, 1408])          0.005664             1.745701             465.984000           4099.302400         
model.layers.0.mlp.experts.28.down_proj       torch.Size([0, 2048])          0.455968             0.824690             465.984000           4038.528000         
model.layers.0.mlp.experts.29.gate_proj       torch.Size([0, 1408])          0.005728             1.708984             465.984000           4038.528000         
model.layers.0.mlp.experts.29.act_fn          torch.Size([0, 1408])          0.280384             0.674963             465.984000           4038.528000         
model.layers.0.mlp.experts.29.up_proj         torch.Size([0, 1408])          1.469920             1.752138             465.984000           4038.528000         
model.layers.0.mlp.experts.29.down_proj       torch.Size([0, 2048])          0.478112             0.845909             466.080000           4038.528000         
model.layers.0.mlp.experts.30.gate_proj       torch.Size([1, 1408])          2.072320             2.445936             466.008000           4019.112000         
model.layers.0.mlp.experts.30.act_fn          torch.Size([1, 1408])          0.310560             0.715256             465.984000           3945.331200         
model.layers.0.mlp.experts.30.up_proj         torch.Size([1, 1408])          2.053216             2.349138             604.053333           3883.200000         
model.layers.0.mlp.experts.30.down_proj       torch.Size([1, 2048])          1.066240             1.358509             640.728000           3881.800000         
model.layers.0.mlp.experts.31.gate_proj       torch.Size([0, 1408])          0.005696             1.654625             621.312000           3881.600000         
model.layers.0.mlp.experts.31.act_fn          torch.Size([0, 1408])          0.280000             0.670433             621.312000           3881.600000         
model.layers.0.mlp.experts.31.up_proj         torch.Size([0, 1408])          0.005632             1.706600             621.312000           3881.600000         
model.layers.0.mlp.experts.31.down_proj       torch.Size([0, 2048])          0.455136             0.821352             621.312000           4036.864000         
model.layers.0.mlp.experts.32.gate_proj       torch.Size([0, 1408])          0.005632             1.630306             621.312000           4036.864000         
model.layers.0.mlp.experts.32.act_fn          torch.Size([0, 1408])          0.282048             0.652552             621.312000           4192.128000         
model.layers.0.mlp.experts.32.up_proj         torch.Size([0, 1408])          1.461248             1.753807             582.480000           4075.680000         
model.layers.0.mlp.experts.32.down_proj       torch.Size([0, 2048])          0.476384             0.912428             465.984000           4075.680000         
model.layers.0.mlp.experts.33.gate_proj       torch.Size([1, 1408])          0.898816             1.202345             582.480000           4036.864000         
model.layers.0.mlp.experts.33.act_fn          torch.Size([1, 1408])          0.309632             0.687838             621.312000           4036.864000         
model.layers.0.mlp.experts.33.up_proj         torch.Size([1, 1408])          0.601184             2.337217             621.312000           4036.864000         
model.layers.0.mlp.experts.33.down_proj       torch.Size([1, 2048])          1.050016             1.349211             718.160000           3959.232000         
model.layers.0.mlp.experts.34.gate_proj       torch.Size([1, 1408])          0.875072             1.173496             776.320000           3903.780571         
model.layers.0.mlp.experts.34.act_fn          torch.Size([1, 1408])          0.301568             0.677824             776.320000           3881.600000         
model.layers.0.mlp.experts.34.up_proj         torch.Size([1, 1408])          0.607040             2.349854             815.136000           3881.200000         
model.layers.0.mlp.experts.34.down_proj       torch.Size([1, 2048])          1.015904             1.311064             931.584000           4013.028571         
model.layers.0.mlp.experts.35.gate_proj       torch.Size([0, 1408])          0.005664             1.664400             931.584000           4159.360000         
model.layers.0.mlp.experts.35.act_fn          torch.Size([0, 1408])          0.005664             1.811028             828.074667           4190.400000         
model.layers.0.mlp.experts.35.up_proj         torch.Size([0, 1408])          0.530816             0.937939             776.320000           4190.400000         
model.layers.0.mlp.experts.35.down_proj       torch.Size([0, 2048])          0.005632             1.769781             776.320000           4113.216000         
model.layers.0.mlp.experts.36.gate_proj       torch.Size([0, 1408])          0.005664             1.670599             776.320000           4130.022400         
model.layers.0.mlp.experts.36.act_fn          torch.Size([0, 1408])          0.278528             0.652075             776.320000           4036.864000         
model.layers.0.mlp.experts.36.up_proj         torch.Size([0, 1408])          0.005760             1.729012             621.209600           4036.864000         
model.layers.0.mlp.experts.36.down_proj       torch.Size([0, 2048])          0.005632             1.185894             621.312000           4036.864000         
model.layers.0.mlp.experts.37.gate_proj       torch.Size([0, 1408])          0.005824             1.596928             621.312000           3920.416000         
model.layers.0.mlp.experts.37.act_fn          torch.Size([0, 1408])          0.281152             0.652075             621.312000           3881.600000         
model.layers.0.mlp.experts.37.up_proj         torch.Size([0, 1408])          0.005664             1.754522             621.312000           3882.880000         
model.layers.0.mlp.experts.37.down_proj       torch.Size([0, 2048])          0.481568             0.862122             621.312000           3883.200000         
model.layers.0.mlp.experts.38.gate_proj       torch.Size([0, 1408])          0.005632             1.680374             504.816000           3922.032000         
model.layers.0.mlp.experts.38.act_fn          torch.Size([0, 1408])          0.298688             0.673056             465.984000           4037.418667         
model.layers.0.mlp.experts.38.up_proj         torch.Size([0, 1408])          1.476000             1.766682             465.984000           4036.864000         
model.layers.0.mlp.experts.38.down_proj       torch.Size([0, 2048])          0.005760             1.751184             465.984000           4130.355200         
model.layers.0.mlp.experts.39.gate_proj       torch.Size([0, 1408])          0.005632             1.669168             465.984000           4038.528000         
model.layers.0.mlp.experts.39.act_fn          torch.Size([0, 1408])          0.276832             0.648499             465.984000           4038.528000         
model.layers.0.mlp.experts.39.up_proj         torch.Size([0, 1408])          1.452768             1.747370             465.984000           3883.200000         
model.layers.0.mlp.experts.39.down_proj       torch.Size([0, 2048])          1.462336             1.744270             466.080000           3883.200000         
model.layers.0.mlp.experts.40.gate_proj       torch.Size([0, 1408])          0.005824             1.683474             466.176000           3883.200000         
model.layers.0.mlp.experts.40.act_fn          torch.Size([0, 1408])          0.294976             0.672340             466.176000           3883.200000         
model.layers.0.mlp.experts.40.up_proj         torch.Size([0, 1408])          0.005632             1.787424             466.176000           3883.200000         
model.layers.0.mlp.experts.40.down_proj       torch.Size([0, 2048])          0.005440             1.729488             466.176000           3883.200000         
model.layers.0.mlp.experts.41.gate_proj       torch.Size([0, 1408])          0.005760             1.569510             466.176000           3883.200000         
model.layers.0.mlp.experts.41.act_fn          torch.Size([0, 1408])          0.285504             0.666380             466.176000           3883.200000         
model.layers.0.mlp.experts.41.up_proj         torch.Size([0, 1408])          0.005664             1.763821             466.176000           3790.003200         
model.layers.0.mlp.experts.41.down_proj       torch.Size([0, 2048])          1.464064             1.794338             466.176000           3727.872000         
model.layers.0.mlp.experts.42.gate_proj       torch.Size([0, 1408])          0.005664             1.634836             466.176000           3727.872000         
model.layers.0.mlp.experts.42.act_fn          torch.Size([0, 1408])          0.356224             0.743151             466.176000           3883.200000         
model.layers.0.mlp.experts.42.up_proj         torch.Size([0, 1408])          0.509408             0.900745             341.862400           3883.200000         
model.layers.0.mlp.experts.42.down_proj       torch.Size([0, 2048])          0.509856             1.014948             310.784000           3821.068800         
model.layers.0.mlp.experts.43.gate_proj       torch.Size([1, 1408])          0.942048             1.277208             446.752000           3766.704000         
model.layers.0.mlp.experts.43.act_fn          torch.Size([1, 1408])          0.322240             0.755787             466.176000           3727.872000         
model.layers.0.mlp.experts.43.up_proj         torch.Size([1, 1408])          0.916928             1.206875             524.328000           3727.872000         
model.layers.0.mlp.experts.43.down_proj       torch.Size([1, 2048])          1.049792             1.331091             621.312000           3726.774857         
model.layers.0.mlp.experts.44.gate_proj       torch.Size([2, 1408])          1.000256             1.331568             737.808000           3726.336000         
model.layers.0.mlp.experts.44.act_fn          torch.Size([2, 1408])          0.319584             0.697374             776.640000           3726.336000         
model.layers.0.mlp.experts.44.up_proj         torch.Size([2, 1408])          0.959584             1.305819             776.640000           3726.336000         
model.layers.0.mlp.experts.44.down_proj       torch.Size([2, 2048])          1.429664             1.709223             873.400000           3861.592000         
model.layers.0.mlp.experts.45.gate_proj       torch.Size([0, 1408])          0.501664             0.885725             931.584000           3918.800000         
model.layers.0.mlp.experts.45.act_fn          torch.Size([0, 1408])          0.283808             0.648737             879.829333           4035.200000         
model.layers.0.mlp.experts.45.up_proj         torch.Size([0, 1408])          0.465696             0.832796             776.320000           4036.531200         
model.layers.0.mlp.experts.45.down_proj       torch.Size([0, 2048])          0.459264             0.845194             776.400000           4036.864000         
model.layers.0.mlp.experts.46.gate_proj       torch.Size([0, 1408])          0.528064             0.926256             776.640000           3959.232000         
model.layers.0.mlp.experts.46.act_fn          torch.Size([0, 1408])          0.374720             0.788450             776.640000           3881.600000         
model.layers.0.mlp.experts.46.up_proj         torch.Size([0, 1408])          0.486432             0.874519             652.377600           4036.864000         
model.layers.0.mlp.experts.46.down_proj       torch.Size([0, 2048])          0.631104             1.133442             621.312000           4005.811200         
model.layers.0.mlp.experts.47.gate_proj       torch.Size([1, 1408])          1.000832             1.379490             660.144000           3959.232000         
model.layers.0.mlp.experts.47.act_fn          torch.Size([1, 1408])          0.333056             0.727654             776.640000           3881.600000         
model.layers.0.mlp.experts.47.up_proj         torch.Size([1, 1408])          0.911456             1.223326             776.640000           3881.600000         
model.layers.0.mlp.experts.47.down_proj       torch.Size([1, 2048])          1.039712             1.344204             776.400000           3881.600000         
model.layers.0.mlp.experts.48.gate_proj       torch.Size([1, 1408])          0.928320             1.275778             892.768000           3668.112000         
model.layers.0.mlp.experts.48.act_fn          torch.Size([1, 1408])          0.328224             0.712395             931.680000           3571.072000         
model.layers.0.mlp.experts.48.up_proj         torch.Size([1, 1408])          0.924736             1.270294             931.632000           3571.072000         
model.layers.0.mlp.experts.48.down_proj       torch.Size([1, 2048])          1.089984             1.390934             931.584000           3570.152000         
model.layers.0.mlp.experts.49.gate_proj       torch.Size([0, 1408])          0.485152             0.913620             931.584000           3570.483200         
model.layers.0.mlp.experts.49.act_fn          torch.Size([0, 1408])          0.311744             0.693798             931.584000           3571.072000         
model.layers.0.mlp.experts.49.up_proj         torch.Size([0, 1408])          0.478112             0.857115             869.683200           3571.072000         
model.layers.0.mlp.experts.49.down_proj       torch.Size([0, 2048])          0.607808             1.057386             776.640000           3571.072000         
model.layers.0.mlp.experts.50.gate_proj       torch.Size([0, 1408])          0.601312             1.084805             776.640000           3571.072000         
model.layers.0.mlp.experts.50.act_fn          torch.Size([0, 1408])          0.336832             0.819683             776.640000           3571.072000         
model.layers.0.mlp.experts.50.up_proj         torch.Size([0, 1408])          0.537984             0.934601             776.640000           3571.072000         
model.layers.0.mlp.experts.50.down_proj       torch.Size([0, 2048])          0.619328             1.128197             621.312000           3571.072000         
model.layers.0.mlp.experts.51.gate_proj       torch.Size([0, 1408])          0.607392             1.062632             621.312000           3726.336000         
model.layers.0.mlp.experts.51.act_fn          torch.Size([0, 1408])          0.291456             0.676870             621.312000           3803.968000         
model.layers.0.mlp.experts.51.up_proj         torch.Size([0, 1408])          0.481120             0.856400             621.312000           3881.600000         
model.layers.0.mlp.experts.51.down_proj       torch.Size([0, 2048])          0.616128             1.075506             621.312000           3959.232000         
model.layers.0.mlp.experts.52.gate_proj       torch.Size([0, 1408])          0.612448             1.137733             621.312000           4005.811200         
model.layers.0.mlp.experts.52.act_fn          torch.Size([0, 1408])          0.302976             0.833273             621.312000           3933.354667         
model.layers.0.mlp.experts.52.up_proj         torch.Size([0, 1408])          0.531104             0.953197             465.984000           3882.560000         
model.layers.0.mlp.experts.52.down_proj       torch.Size([0, 2048])          0.633152             1.079559             465.984000           3883.200000         
model.layers.0.mlp.experts.53.gate_proj       torch.Size([0, 1408])          0.540320             0.989914             465.984000           3883.200000         
model.layers.0.mlp.experts.53.act_fn          torch.Size([0, 1408])          0.325568             0.763416             466.048000           3883.200000         
model.layers.0.mlp.experts.53.up_proj         torch.Size([0, 1408])          0.481920             0.847578             466.176000           3883.200000         
model.layers.0.mlp.experts.53.down_proj       torch.Size([0, 2048])          0.554432             0.970602             466.176000           3805.536000         
model.layers.0.mlp.experts.54.gate_proj       torch.Size([0, 1408])          0.488416             0.861406             466.176000           3758.937600         
model.layers.0.mlp.experts.54.act_fn          torch.Size([0, 1408])          0.338944             0.719547             466.176000           3727.872000         
model.layers.0.mlp.experts.54.up_proj         torch.Size([0, 1408])          0.467648             0.842810             466.176000           3766.704000         
model.layers.0.mlp.experts.54.down_proj       torch.Size([0, 2048])          0.469024             0.838041             466.176000           3728.486400         
model.layers.0.mlp.experts.55.gate_proj       torch.Size([0, 1408])          0.469824             0.911951             466.176000           3729.408000         
model.layers.0.mlp.experts.55.act_fn          torch.Size([0, 1408])          0.281152             0.645876             466.176000           3729.408000         
model.layers.0.mlp.experts.55.up_proj         torch.Size([0, 1408])          0.456256             0.821114             466.176000           3729.408000         
model.layers.0.mlp.experts.55.down_proj       torch.Size([0, 2048])          0.452288             0.816345             466.176000           3729.408000         
model.layers.0.mlp.experts.56.gate_proj       torch.Size([0, 1408])          0.470880             0.844002             466.176000           3729.408000         
model.layers.0.mlp.experts.56.act_fn          torch.Size([0, 1408])          0.274048             0.639915             466.176000           3729.408000         
model.layers.0.mlp.experts.56.up_proj         torch.Size([0, 1408])          0.454016             0.881672             466.176000           3729.408000         
model.layers.0.mlp.experts.56.down_proj       torch.Size([0, 2048])          0.451744             0.832796             388.480000           3690.560000         
model.layers.0.mlp.experts.57.gate_proj       torch.Size([0, 1408])          0.464032             0.871897             310.784000           3574.016000         
model.layers.0.mlp.experts.57.act_fn          torch.Size([0, 1408])          0.326016             0.697851             310.784000           3677.610667         
model.layers.0.mlp.experts.57.up_proj         torch.Size([0, 1408])          0.466880             0.830412             310.784000           3690.560000         
model.layers.0.mlp.experts.57.down_proj       torch.Size([0, 2048])          0.463520             0.840187             310.784000           3728.793600         
model.layers.0.mlp.experts.58.gate_proj       torch.Size([0, 1408])          0.556864             0.936031             310.784000           3883.200000         
model.layers.0.mlp.experts.58.act_fn          torch.Size([0, 1408])          0.273472             0.633717             310.784000           3883.200000         
model.layers.0.mlp.experts.58.up_proj         torch.Size([0, 1408])          0.456992             0.819683             310.784000           4038.528000         
model.layers.0.mlp.experts.58.down_proj       torch.Size([0, 2048])          0.452032             0.828743             310.784000           3999.696000         
model.layers.0.mlp.experts.59.gate_proj       torch.Size([0, 1408])          0.505952             0.878334             310.784000           3914.265600         
model.layers.0.mlp.experts.59.act_fn          torch.Size([0, 1408])          0.281408             0.669479             310.784000           3883.200000         
